Subj	ROI	Cond	Y
01	rh_G_pariet_inf-Angular	stim	0.0710475378875097
01	rh_G_pariet_inf-Supramar	prestim	0.0743251879333462
01	rh_G_pariet_inf-Supramar	stim	0.275205926690471
01	rh_G_parietal_sup	prestim	0.0621381151626781
01	rh_G_parietal_sup	stim	0.0702986814820088
01	rh_G_postcentral	prestim	0.0780720007376095
01	rh_G_postcentral	stim	0.274254011358468
01	rh_G_precentral	prestim	0.0833493675611648
01	rh_G_precentral	stim	0.202998358069971
01	rh_G_precuneus	prestim	0.0713332063613949
01	rh_G_precuneus	stim	0.105130916984028
01	rh_G_rectus	prestim	0.0703542957906899
01	rh_G_rectus	stim	0.114822648635223
01	rh_G_subcallosal	prestim	0.0994392053914665
01	rh_G_subcallosal	stim	0.173607194758678
01	rh_G_temp_sup-G_T_transv	prestim	0.084080149486859
01	rh_G_temp_sup-G_T_transv	stim	0.393484372774964
01	rh_G_temp_sup-Lateral	prestim	0.0744235112289717
01	rh_G_temp_sup-Lateral	stim	0.125341148321318
01	rh_G_temp_sup-Plan_polar	prestim	0.0859529157225948
01	rh_G_temp_sup-Plan_polar	stim	0.135648157529962
01	rh_G_temp_sup-Plan_tempo	prestim	0.0764452688339084
01	rh_G_temp_sup-Plan_tempo	stim	0.233468822929139
01	rh_G_temporal_inf	prestim	0.0862927236963926
01	rh_G_temporal_inf	stim	0.16589586970633
01	rh_G_temporal_middle	prestim	0.0857759848627877
01	rh_G_temporal_middle	stim	0.0949446732289147
01	rh_Lat_Fis-ant-Horizont	prestim	0.0675454154580621
01	rh_Lat_Fis-ant-Horizont	stim	0.107565403754503
01	rh_Lat_Fis-ant-Vertical	prestim	0.0864350287922016
01	rh_Lat_Fis-ant-Vertical	stim	0.169144290252406
01	rh_Lat_Fis-post	prestim	0.0873480363318924
01	rh_Lat_Fis-post	stim	0.102412968435522
01	rh_Pole_occipital	prestim	0.0486319774098656
01	rh_Pole_occipital	stim	0.0738241610584885
01	rh_Pole_temporal	prestim	0.0914126215430123
01	rh_Pole_temporal	stim	0.0848631767996862
01	rh_S_calcarine	prestim	0.0719481706954693
01	rh_S_calcarine	stim	0.113953812040936
01	rh_S_central	prestim	0.0719838666088519
01	rh_S_central	stim	0.0945177121480506
01	rh_S_cingul-Marginalis	prestim	0.0722047713344369
01	rh_S_cingul-Marginalis	stim	0.125386435254485
01	rh_S_circular_insula_ant	prestim	0.0939709178918142
01	rh_S_circular_insula_ant	stim	0.126112366416647
01	rh_S_circular_insula_inf	prestim	0.0926576609739646
01	rh_S_circular_insula_inf	stim	0.228417611621245
01	rh_S_circular_insula_sup	prestim	0.0766143956849513
01	rh_S_circular_insula_sup	stim	0.177230707487284
01	rh_S_collat_transv_ant	prestim	0.0846344986511286
01	rh_S_collat_transv_ant	stim	0.109348743591253
01	rh_S_collat_transv_post	prestim	0.0661599125052109
01	rh_S_collat_transv_post	stim	0.0525425919161938
01	rh_S_front_inf	prestim	0.0638158405274352
01	rh_S_front_inf	stim	0.218006461724042
01	rh_S_front_middle	prestim	0.0761554011610949
01	rh_S_front_middle	stim	0.0960257775533898
01	rh_S_front_sup	prestim	0.0849825439729629
01	rh_S_front_sup	stim	0.0820682726506909
01	rh_S_interm_prim-Jensen	prestim	0.10088787936704
01	rh_S_interm_prim-Jensen	stim	0.0722808785798186
01	rh_S_intrapariet_and_P_trans	prestim	0.0830500323349225
01	rh_S_intrapariet_and_P_trans	stim	0.0788199626376541
01	rh_S_oc-temp_lat	prestim	0.0918763297120879
01	rh_S_oc-temp_lat	stim	0.138845488106346
01	rh_S_oc-temp_med_and_Lingual	prestim	0.10104166886304
01	rh_S_oc-temp_med_and_Lingual	stim	0.164402093102415
01	rh_S_oc_middle_and_Lunatus	prestim	0.0699426101258597
01	rh_S_oc_middle_and_Lunatus	stim	0.0738369070025597
01	rh_S_oc_sup_and_transversal	prestim	0.0660373055435873
01	rh_S_oc_sup_and_transversal	stim	0.0845276726178187
01	rh_S_occipital_ant	prestim	0.0813717912928344
01	rh_S_occipital_ant	stim	0.0906278156457246
01	rh_S_orbital-H_Shaped	prestim	0.0891569302056898
01	rh_S_orbital-H_Shaped	stim	0.163292136304784
01	rh_S_orbital_lateral	prestim	0.056173181330159
01	rh_S_orbital_lateral	stim	0.0659525164136482
01	rh_S_orbital_med-olfact	prestim	0.0946660870360772
01	rh_S_orbital_med-olfact	stim	0.247390880361751
01	rh_S_parieto_occipital	prestim	0.0763002426332135
01	rh_S_parieto_occipital	stim	0.0601069149715021
01	rh_S_pericallosal	prestim	0.0701937865110421
01	rh_S_pericallosal	stim	0.0714413218848824
01	rh_S_postcentral	prestim	0.079165813385936
01	rh_S_postcentral	stim	0.108283205309998
01	rh_S_precentral-inf-part	prestim	0.0761228681494033
01	rh_S_precentral-inf-part	stim	0.299180594976592
01	rh_S_precentral-sup-part	prestim	0.0608793417841847
01	rh_S_precentral-sup-part	stim	0.103368573199565
01	rh_S_suborbital	prestim	0.0787951148203309
01	rh_S_suborbital	stim	0.0883763996094655
01	rh_S_subparietal	prestim	0.0657298012408036
01	rh_S_subparietal	stim	0.119012106798625
01	rh_S_temporal_inf	prestim	0.0877357720902627
01	rh_S_temporal_inf	stim	0.16438495858498
01	rh_S_temporal_sup	prestim	0.094682131597225
01	rh_S_temporal_sup	stim	0.0783061735271243
01	rh_S_temporal_transverse	prestim	0.0636693348880992
01	rh_S_temporal_transverse	stim	0.381733645043819
02	lh_G_Ins_lg_and_S_cent_ins	prestim	0.0860917515696476
02	lh_G_Ins_lg_and_S_cent_ins	stim	0.221144620042438
02	lh_G_and_S_cingul-Ant	prestim	0.0915400884106563
02	lh_G_and_S_cingul-Ant	stim	0.0887344604732055
02	lh_G_and_S_cingul-Mid-Ant	prestim	0.0729668750323886
02	lh_G_and_S_cingul-Mid-Ant	stim	0.0901080635651872
02	lh_G_and_S_cingul-Mid-Post	prestim	0.0774392178169117
02	lh_G_and_S_cingul-Mid-Post	stim	0.078846733316229
02	lh_G_and_S_frontomargin	prestim	0.0938266782001315
02	lh_G_and_S_frontomargin	stim	0.099922426953978
02	lh_G_and_S_occipital_inf	prestim	0.100341813869445
02	lh_G_and_S_occipital_inf	stim	0.0879189418697414
02	lh_G_and_S_paracentral	prestim	0.0652975293392359
02	lh_G_and_S_paracentral	stim	0.0959958167294616
02	lh_G_and_S_subcentral	prestim	0.061089249959763
02	lh_G_and_S_subcentral	stim	0.157168914384559
02	lh_G_and_S_transv_frontopol	prestim	0.0773654121612357
02	lh_G_and_S_transv_frontopol	stim	0.0814499786432488
02	lh_G_cingul-Post-dorsal	prestim	0.0726585095274166
02	lh_G_cingul-Post-dorsal	stim	0.094676665295579
02	lh_G_cingul-Post-ventral	prestim	0.0669488573744124
02	lh_G_cingul-Post-ventral	stim	0.105469870145099
02	lh_G_cuneus	prestim	0.0907373792345509
02	lh_G_cuneus	stim	0.0843444971544498
02	lh_G_front_inf-Opercular	prestim	0.0885565001126743
02	lh_G_front_inf-Opercular	stim	0.0803026377756863
02	lh_G_front_inf-Orbital	prestim	0.10280750985149
02	lh_G_front_inf-Orbital	stim	0.137677793801729
02	lh_G_front_inf-Triangul	prestim	0.111502559132382
02	lh_G_front_inf-Triangul	stim	0.0834136746500797
02	lh_G_front_middle	prestim	0.089657206380009
02	lh_G_front_middle	stim	0.0822788380626416
02	lh_G_front_sup	prestim	0.0964436199563161
02	lh_G_front_sup	stim	0.0894064407413204
02	lh_G_insular_short	prestim	0.0927375249764429
02	lh_G_insular_short	stim	0.130428949207494
02	lh_G_oc-temp_lat-fusifor	prestim	0.0600844060509345
02	lh_G_oc-temp_lat-fusifor	stim	0.133269431430122
02	lh_G_oc-temp_med-Lingual	prestim	0.0764445844178312
02	lh_G_oc-temp_med-Lingual	stim	0.0958671707849811
02	lh_G_oc-temp_med-Parahip	prestim	0.0641577918698228
02	lh_G_oc-temp_med-Parahip	stim	0.11644664036913
02	lh_G_occipital_middle	prestim	0.0664706452923569
02	lh_G_occipital_middle	stim	0.101427090611718
02	lh_G_occipital_sup	prestim	0.0923668223766344
02	lh_G_occipital_sup	stim	0.0887804946199078
02	lh_G_orbital	prestim	0.0697032225936537
02	lh_G_orbital	stim	0.17187785800177
02	lh_G_pariet_inf-Angular	prestim	0.066322487471576
02	lh_G_pariet_inf-Angular	stim	0.0740265415519403
02	lh_G_pariet_inf-Supramar	prestim	0.0759759025403003
02	lh_G_pariet_inf-Supramar	stim	0.159379196194068
02	lh_G_parietal_sup	prestim	0.0472729545013508
02	lh_G_parietal_sup	stim	0.0685623306383354
02	lh_G_postcentral	prestim	0.0486972861562761
02	lh_G_postcentral	stim	0.103309011412259
02	lh_G_precentral	prestim	0.0831543245221385
02	lh_G_precentral	stim	0.073034244251113
02	lh_G_precuneus	prestim	0.0647849805429118
02	lh_G_precuneus	stim	0.0886089544821812
02	lh_G_rectus	prestim	0.0659068209650696
02	lh_G_rectus	stim	0.071867584824201
02	lh_G_subcallosal	prestim	0.0744657694910051
02	lh_G_subcallosal	stim	0.115600609020411
02	lh_G_temp_sup-G_T_transv	prestim	0.0554917299381637
02	lh_G_temp_sup-G_T_transv	stim	0.199949489452282
02	lh_G_temp_sup-Lateral	prestim	0.0714420330228283
02	lh_G_temp_sup-Lateral	stim	0.143128570456071
02	lh_G_temp_sup-Plan_polar	prestim	0.0674836077422644
02	lh_G_temp_sup-Plan_polar	stim	0.0904021757268199
02	lh_G_temp_sup-Plan_tempo	prestim	0.0632424586198027
02	lh_G_temp_sup-Plan_tempo	stim	0.20939055883214
02	lh_G_temporal_inf	prestim	0.0669438131796679
02	lh_G_temporal_inf	stim	0.152098829653558
02	lh_G_temporal_middle	prestim	0.0838632256660311
02	lh_G_temporal_middle	stim	0.091905854890554
02	lh_Lat_Fis-ant-Horizont	prestim	0.11637903497052
02	lh_Lat_Fis-ant-Horizont	stim	0.161059229507127
02	lh_Lat_Fis-ant-Vertical	prestim	0.0618526926950407
02	lh_Lat_Fis-ant-Vertical	stim	0.0826510508639265
02	lh_Lat_Fis-post	prestim	0.0875105700781067
02	lh_Lat_Fis-post	stim	0.1600235741056
02	lh_Pole_occipital	prestim	0.0912716697352397
02	lh_Pole_occipital	stim	0.073994649171366
02	lh_Pole_temporal	prestim	0.0717190024926383
02	lh_Pole_temporal	stim	0.0761355614921302
02	lh_S_calcarine	prestim	0.0812962430231092
02	lh_S_calcarine	stim	0.0871282412476523
02	lh_S_central	prestim	0.075061790411125
02	lh_S_central	stim	0.13570668597732
02	lh_S_cingul-Marginalis	prestim	0.0765242038711494
02	lh_S_cingul-Marginalis	stim	0.102796497371463
02	lh_S_circular_insula_ant	prestim	0.0937029300984119
02	lh_S_circular_insula_ant	stim	0.134819297555489
02	lh_S_circular_insula_inf	prestim	0.0844703203175338
02	lh_S_circular_insula_inf	stim	0.15914166384976
02	lh_S_circular_insula_sup	prestim	0.0725358174319729
02	lh_S_circular_insula_sup	stim	0.145884281617516
02	lh_S_collat_transv_ant	prestim	0.0650674561422664
02	lh_S_collat_transv_ant	stim	0.132193708732119
02	lh_S_collat_transv_post	prestim	0.106884118567891
02	lh_S_collat_transv_post	stim	0.0859140569082044
02	lh_S_front_inf	prestim	0.0714034132752078
02	lh_S_front_inf	stim	0.0666890061038825
02	lh_S_front_middle	prestim	0.0828016511149374
02	lh_S_front_middle	stim	0.0757061660659994
02	lh_S_front_sup	prestim	0.0575099782056753
02	lh_S_front_sup	stim	0.081344573038638
02	lh_S_interm_prim-Jensen	prestim	0.0609821946778995
02	lh_S_interm_prim-Jensen	stim	0.0994532617771863
