Subj	ROI	Y
01	lh_S_collat_transv_post	-22.0457009062662
01	lh_S_front_inf	-22.7809484680291
01	lh_S_front_middle	-23.3041862782376
01	lh_S_front_sup	-23.1883486525744
01	lh_S_interm_prim-Jensen	-22.0970568372625
01	lh_S_intrapariet_and_P_trans	-23.3913362966649
01	lh_S_oc-temp_lat	-22.0449081781222
01	lh_S_oc-temp_med_and_Lingual	-22.1328646088895
01	lh_S_oc_middle_and_Lunatus	-22.824943549572
01	lh_S_oc_sup_and_transversal	-22.9855041679851
01	lh_S_occipital_ant	-21.8754865691704
01	lh_S_orbital-H_Shaped	-22.0177987251296
01	lh_S_orbital_lateral	-22.1762801741145
01	lh_S_orbital_med-olfact	-21.8637184082131
01	lh_S_parieto_occipital	-22.6616851742333
01	lh_S_pericallosal	-22.3105888995402
01	lh_S_postcentral	-23.1918373100164
01	lh_S_precentral-inf-part	-22.0461640754031
01	lh_S_precentral-sup-part	-22.8282596727156
01	lh_S_suborbital	-21.3541436861501
01	lh_S_subparietal	-21.9291400768909
01	lh_S_temporal_inf	-22.7022145253495
01	lh_S_temporal_sup	-23.4727140017597
01	lh_S_temporal_transverse	-21.1258235855394
01	rh_G_Ins_lg_and_S_cent_ins	-22.6755346087703
01	rh_G_and_S_cingul-Ant	-22.0602894532846
01	rh_G_and_S_cingul-Mid-Ant	-22.1345809505442
01	rh_G_and_S_cingul-Mid-Post	-22.0930426327357
01	rh_G_and_S_frontomargin	-22.2670877890425
01	rh_G_and_S_occipital_inf	-21.8531059246904
01	rh_G_and_S_paracentral	-22.5038518769551
01	rh_G_and_S_subcentral	-21.574799061379
01	rh_G_and_S_transv_frontopol	-22.9386677569626
01	rh_G_cingul-Post-dorsal	-21.8918282390002
01	rh_G_cingul-Post-ventral	-21.6725825049351
01	rh_G_cuneus	-22.0740784475002
01	rh_G_front_inf-Opercular	-21.9657237449359
01	rh_G_front_inf-Orbital	-21.4815556462337
01	rh_G_front_inf-Triangul	-22.7301991234361
01	rh_G_front_middle	-23.5223187430637
01	rh_G_front_sup	-22.8616476401473
01	rh_G_insular_short	-22.8281014827595
01	rh_G_oc-temp_lat-fusifor	-21.7696865480296
01	rh_G_oc-temp_med-Lingual	-22.4524182151316
01	rh_G_oc-temp_med-Parahip	-21.5413852766237
01	rh_G_occipital_middle	-22.7076398680546
01	rh_G_occipital_sup	-22.9092370358831
01	rh_G_orbital	-21.9792267236339
01	rh_G_pariet_inf-Angular	-23.746683109971
01	rh_G_pariet_inf-Supramar	-22.1860594923944
01	rh_G_parietal_sup	-23.6718960402043
01	rh_G_postcentral	-22.5614094624101
01	rh_G_precentral	-23.2044373268929
01	rh_G_precuneus	-22.2106801677043
01	rh_G_rectus	-21.7076416239844
01	rh_G_subcallosal	-21.6427072190782
01	rh_G_temp_sup-G_T_transv	-21.3555248098915
01	rh_G_temp_sup-Lateral	-23.1266789839886
01	rh_G_temp_sup-Plan_polar	-21.2329472940797
01	rh_G_temp_sup-Plan_tempo	-21.0957885073391
01	rh_G_temporal_inf	-22.2606974259401
01	rh_G_temporal_middle	-23.7992252709669
01	rh_Lat_Fis-ant-Horizont	-21.6508521773913
01	rh_Lat_Fis-ant-Vertical	-21.5679186463148
01	rh_Lat_Fis-post	-22.0290747389438
01	rh_Pole_occipital	-22.244649650225
01	rh_Pole_temporal	-21.6825748070487
01	rh_S_calcarine	-22.9043260009716
01	rh_S_central	-23.0475181589039
01	rh_S_cingul-Marginalis	-22.3278649811182
01	rh_S_circular_insula_ant	-21.8338802548589
01	rh_S_circular_insula_inf	-22.0268932068746
01	rh_S_circular_insula_sup	-22.1904842992183
01	rh_S_collat_transv_ant	-21.6085014943135
01	rh_S_collat_transv_post	-21.7246570344928
01	rh_S_front_inf	-22.2698724733435
01	rh_S_front_middle	-22.5564000354536
01	rh_S_front_sup	-22.8181762718539
01	rh_S_interm_prim-Jensen	-22.0048828266707
01	rh_S_intrapariet_and_P_trans	-23.231548775908
01	rh_S_oc-temp_lat	-21.7286638080148
01	rh_S_oc-temp_med_and_Lingual	-22.2740497783509
01	rh_S_oc_middle_and_Lunatus	-23.1518551105566
01	rh_S_oc_sup_and_transversal	-22.7853369059636
01	rh_S_occipital_ant	-23.3526410407423
01	rh_S_orbital-H_Shaped	-21.7355322301867
01	rh_S_orbital_lateral	-22.5175377847528
01	rh_S_orbital_med-olfact	-21.9718292393878
01	rh_S_parieto_occipital	-22.8537925497986
01	rh_S_pericallosal	-22.3683984954295
01	rh_S_postcentral	-22.5564483457539
01	rh_S_precentral-inf-part	-21.8975854401833
01	rh_S_precentral-sup-part	-22.6373760165302
01	rh_S_suborbital	-21.6156150369355
01	rh_S_subparietal	-22.0510505247394
01	rh_S_temporal_inf	-22.9485404634884
01	rh_S_temporal_sup	-23.1909648696925
01	rh_S_temporal_transverse	-21.0780918108469
02	lh_G_Ins_lg_and_S_cent_ins	-21.7635633039147
02	lh_G_and_S_cingul-Ant	-21.835987986462
02	lh_G_and_S_cingul-Mid-Ant	-22.2193465958811
02	lh_G_and_S_cingul-Mid-Post	-22.0096076251988
02	lh_G_and_S_frontomargin	-22.5178948518909
02	lh_G_and_S_occipital_inf	-20.8618027568121
02	lh_G_and_S_paracentral	-22.3094660913837
02	lh_G_and_S_subcentral	-21.7507523519121
02	lh_G_and_S_transv_frontopol	-22.2503520450994
02	lh_G_cingul-Post-dorsal	-21.5104907881318
02	lh_G_cingul-Post-ventral	-20.6033464616713
02	lh_G_cuneus	-21.6141335674956
02	lh_G_front_inf-Opercular	-22.0090930488761
02	lh_G_front_inf-Orbital	-21.051544763384
02	lh_G_front_inf-Triangul	-22.6248505744267
02	lh_G_front_middle	-23.5627622943509
02	lh_G_front_sup	-23.0035407223139
02	lh_G_insular_short	-22.0728105059535
02	lh_G_oc-temp_lat-fusifor	-21.0116757001176
02	lh_G_oc-temp_med-Lingual	-20.7104244022635
02	lh_G_oc-temp_med-Parahip	-20.9309400628564
02	lh_G_occipital_middle	-22.073787150817
02	lh_G_occipital_sup	-22.8499584093015
02	lh_G_orbital	-21.9960264072304
02	lh_G_pariet_inf-Angular	-23.4513435980989
02	lh_G_pariet_inf-Supramar	-22.6099637736015
02	lh_G_parietal_sup	-23.8411886695614
02	lh_G_postcentral	-23.2055853482602
02	lh_G_precentral	-23.6910153090156
02	lh_G_precuneus	-22.6859766338166
02	lh_G_rectus	-21.6927806111114
02	lh_G_subcallosal	-20.7861719852024
02	lh_G_temp_sup-G_T_transv	-21.6700951365506
02	lh_G_temp_sup-Lateral	-22.2056240927056
02	lh_G_temp_sup-Plan_polar	-20.6882099347858
02	lh_G_temp_sup-Plan_tempo	-21.8195012832617
02	lh_G_temporal_inf	-21.1281205587265
02	lh_G_temporal_middle	-22.1416635657621
02	lh_Lat_Fis-ant-Horizont	-21.5108975572007
02	lh_Lat_Fis-ant-Vertical	-21.517922881425
02	lh_Lat_Fis-post	-21.8186989338952
02	lh_Pole_occipital	-22.2617576628838
02	lh_Pole_temporal	-21.5285370649019
02	lh_S_calcarine	-21.4071635199717
02	lh_S_central	-23.4749023656367
02	lh_S_cingul-Marginalis	-22.3799487338849
02	lh_S_circular_insula_ant	-21.178004561706
02	lh_S_circular_insula_inf	-21.6357733946361
02	lh_S_circular_insula_sup	-21.9147831238085
