label,mean_effect,pplus,lower95,upper95,significant,effect_direction
rh_G_precuneus,0.0056,0.8802,-0.0045,0.0155,FALSE,positive
rh_G_rectus,0.006,0.899,-0.0038,0.0161,FALSE,positive
rh_G_subcallosal,0.0057,0.8861,-0.0041,0.0156,FALSE,positive
rh_G_temp_sup-G_T_transv,0.0083,0.8912,-0.0054,0.0259,FALSE,positive
rh_G_temp_sup-Lateral,0.0067,0.9049,-0.0038,0.0185,FALSE,positive
rh_G_temp_sup-Plan_polar,0.0061,0.9064,-0.0034,0.0162,FALSE,positive
rh_G_temp_sup-Plan_tempo,0.0076,0.9117,-0.0037,0.0215,FALSE,positive
rh_G_temporal_inf,0.0064,0.9093,-0.0033,0.0168,FALSE,positive
rh_G_temporal_middle,0.0061,0.8996,-0.0038,0.0161,FALSE,positive
rh_Lat_Fis-ant-Horizont,0.006,0.9001,-0.0036,0.0159,FALSE,positive
rh_Lat_Fis-ant-Vertical,0.0063,0.9051,-0.0034,0.0166,FALSE,positive
rh_Lat_Fis-post,0.0063,0.9072,-0.0034,0.0164,FALSE,positive
rh_Pole_occipital,0.0053,0.871,-0.0047,0.0152,FALSE,positive
rh_Pole_temporal,0.0059,0.8948,-0.0039,0.0159,FALSE,positive
rh_S_calcarine,0.0057,0.8915,-0.004,0.0157,FALSE,positive
rh_S_central,0.0062,0.9032,-0.0035,0.0164,FALSE,positive
rh_S_cingul-Marginalis,0.0054,0.8773,-0.0047,0.0152,FALSE,positive
rh_S_circular_insula_ant,0.0058,0.8928,-0.0039,0.0157,FALSE,positive
rh_S_circular_insula_inf,0.0063,0.9052,-0.0036,0.0167,FALSE,positive
rh_S_circular_insula_sup,0.0064,0.9042,-0.0036,0.0168,FALSE,positive
rh_S_collat_transv_ant,0.0059,0.8947,-0.0039,0.0158,FALSE,positive
rh_S_collat_transv_post,0.0053,0.8733,-0.0047,0.0152,FALSE,positive
rh_S_front_inf,0.0067,0.9091,-0.0035,0.0178,FALSE,positive
rh_S_front_middle,0.0057,0.889,-0.0042,0.0157,FALSE,positive
rh_S_front_sup,0.0056,0.8799,-0.0044,0.0153,FALSE,positive
rh_S_interm_prim-Jensen,0.0057,0.89,-0.0041,0.0158,FALSE,positive
rh_S_intrapariet_and_P_trans,0.0059,0.8978,-0.0036,0.0157,FALSE,positive
rh_S_oc_middle_and_Lunatus,0.0053,0.8693,-0.0049,0.0154,FALSE,positive
rh_S_oc_sup_and_transversal,0.0058,0.8925,-0.0039,0.0157,FALSE,positive
rh_S_oc-temp_lat,0.0062,0.9079,-0.0035,0.0163,FALSE,positive
rh_S_oc-temp_med_and_Lingual,0.0062,0.8995,-0.0038,0.0164,FALSE,positive
rh_S_occipital_ant,0.0058,0.89,-0.0039,0.0157,FALSE,positive
rh_S_orbital_lateral,0.0057,0.8872,-0.0042,0.0154,FALSE,positive
rh_S_orbital_med-olfact,0.007,0.9122,-0.0033,0.0189,FALSE,positive
rh_S_orbital-H_Shaped,0.0063,0.9062,-0.0035,0.0168,FALSE,positive
rh_S_parieto_occipital,0.0054,0.8759,-0.0044,0.0154,FALSE,positive
rh_S_pericallosal,0.0057,0.8879,-0.0041,0.0155,FALSE,positive
rh_S_postcentral,0.0062,0.9032,-0.0035,0.0164,FALSE,positive
rh_S_precentral-inf-part,0.0064,0.8997,-0.0038,0.017,FALSE,positive
rh_S_precentral-sup-part,0.006,0.9001,-0.0037,0.0159,FALSE,positive
rh_S_suborbital,0.0059,0.8948,-0.0038,0.0159,FALSE,positive
rh_S_subparietal,0.0058,0.8912,-0.0039,0.0157,FALSE,positive
rh_S_temporal_inf,0.0061,0.9007,-0.0036,0.0161,FALSE,positive
rh_S_temporal_sup,0.0061,0.9032,-0.0037,0.0162,FALSE,positive
rh_S_temporal_transverse,0.0086,0.8912,-0.0054,0.0275,FALSE,positive
